datetime,open,high,low,close,volume
2026-04-10 08:00:00,71481.85,71504.0,71481.85,71487.64,32.0274
2026-04-10 08:01:00,71487.64,71491.4,71466.79,71466.8,28.0594
2026-04-10 08:02:00,71466.8,71496.77,71466.8,71496.76,19.0392
2026-04-10 08:03:00,71496.77,71501.1,71433.12,71433.12,20.7686
2026-04-10 08:04:00,71433.13,71490.01,71426.15,71490.0,195.9092
2026-04-10 08:05:00,71490.0,71495.61,71472.12,71488.46,23.4366
2026-04-10 08:06:00,71488.46,71567.78,71488.45,71567.14,20.2604
2026-04-10 08:07:00,71567.14,71591.8,71555.0,71564.48,19.2662
2026-04-10 08:08:00,71564.48,71615.65,71564.48,71584.59,16.1328
2026-04-10 08:09:00,71584.59,71615.65,71584.59,71610.41,11.0036
2026-04-10 08:10:00,71610.42,71618.88,71578.14,71618.88,187.71020000000001
2026-04-10 08:11:00,71618.87,71670.0,71618.87,71654.97,20.2874
2026-04-10 08:12:00,71654.98,71654.98,71642.97,71642.97,3.4414
2026-04-10 08:13:00,71642.98,71649.08,71600.89,71600.89,68.246
2026-04-10 08:14:00,71600.89,71608.0,71571.5,71607.99,19.1702
2026-04-10 08:15:00,71607.99,71608.0,71602.0,71602.0,10.3874
2026-04-10 08:16:00,71602.01,71608.0,71534.0,71546.01,21.616799999999998
2026-04-10 08:17:00,71546.01,71590.0,71546.0,71590.0,10.0992
2026-04-10 08:18:00,71590.0,71630.0,71590.0,71629.99,5.313
2026-04-10 08:19:00,71629.99,71642.65,71610.89,71642.64,14.1378
2026-04-10 08:20:00,71642.64,71674.55,71642.64,71646.32,12.46
2026-04-10 08:21:00,71646.32,71653.87,71635.77,71639.21,19.4506
2026-04-10 08:22:00,71639.2,71639.2,71634.7,71634.7,12.0148
2026-04-10 08:23:00,71634.7,71643.87,71634.7,71639.76,8.4434
2026-04-10 08:24:00,71639.76,71669.96,71639.76,71669.95,3.3982
2026-04-10 08:25:00,71669.96,71690.4,71669.95,71690.4,5.3168
2026-04-10 08:26:00,71690.4,71690.4,71667.52,71667.53,6.8995999999999995
2026-04-10 08:27:00,71667.52,71667.53,71666.66,71666.66,1.9886
2026-04-10 08:28:00,71666.66,71666.67,71649.48,71649.48,3.709
2026-04-10 08:29:00,71649.48,71657.87,71643.13,71643.27,8.2124
2026-04-10 08:30:00,71643.27,71653.3,71628.21,71653.3,10.6154
2026-04-10 08:31:00,71653.31,71686.86,71653.31,71673.74,12.5054
2026-04-10 08:32:00,71673.73,71676.79,71673.4,71673.41,7.1738
2026-04-10 08:33:00,71673.41,71678.67,71641.6,71641.6,12.8956
2026-04-10 08:34:00,71641.61,71641.61,71635.99,71636.0,7.2256
2026-04-10 08:35:00,71635.99,71694.4,71613.64,71694.39,24.1038
2026-04-10 08:36:00,71694.4,71718.79,71673.86,71673.86,9.9404
2026-04-10 08:37:00,71673.87,71693.88,71673.87,71676.37,13.4602
2026-04-10 08:38:00,71676.36,71720.0,71676.36,71719.99,7.8218
2026-04-10 08:39:00,71720.0,71756.88,71719.99,71752.39,11.145
2026-04-10 08:40:00,71752.39,71752.39,71728.27,71741.6,11.512
2026-04-10 08:41:00,71741.61,71756.73,71741.6,71749.78,4.6562
2026-04-10 08:42:00,71749.78,71769.41,71746.13,71746.14,32.5872
2026-04-10 08:43:00,71746.14,71746.14,71732.78,71732.78,5.3852
2026-04-10 08:44:00,71732.78,71732.79,71700.24,71700.24,6.769
2026-04-10 08:45:00,71700.25,71700.25,71687.05,71698.76,9.063600000000001
2026-04-10 08:46:00,71698.76,71716.96,71692.0,71716.96,2.9278
2026-04-10 08:47:00,71716.96,71716.96,71562.25,71571.42,30.2228
2026-04-10 08:48:00,71571.42,71586.7,71571.41,71582.67,9.3248
2026-04-10 08:49:00,71582.67,71582.67,71537.98,71555.97,57.1446
2026-04-10 08:50:00,71555.97,71560.84,71503.04,71512.85,26.7346
2026-04-10 08:51:00,71512.86,71525.56,71512.86,71519.02,4.4738
2026-04-10 08:52:00,71519.02,71525.56,71500.0,71525.55,10.5136
2026-04-10 08:53:00,71525.56,71556.39,71509.85,71544.89,37.4088
2026-04-10 08:54:00,71544.9,71593.12,71533.51,71593.11,12.696
2026-04-10 08:55:00,71593.11,71593.12,71569.16,71573.47,18.2436
2026-04-10 08:56:00,71573.47,71585.14,71573.46,71585.14,3.3616
2026-04-10 08:57:00,71585.13,71589.74,71580.02,71587.19,3.7598000000000003
2026-04-10 08:58:00,71587.18,71615.87,71587.18,71594.55,13.4694
2026-04-10 08:59:00,71594.55,71612.0,71594.54,71606.07,7.8238
2026-04-10 09:00:00,71606.08,71606.08,71604.64,71604.65,3.7628
2026-04-10 09:01:00,71604.65,71622.07,71583.47,71600.29,40.9278
2026-04-10 09:02:00,71600.28,71652.0,71594.29,71651.99,3.7184
2026-04-10 09:03:00,71652.0,71678.67,71651.99,71667.46,8.9072
2026-04-10 09:04:00,71667.45,71694.0,71667.45,71675.92,9.5852
2026-04-10 09:05:00,71675.92,71687.93,71668.06,71684.91,8.281
2026-04-10 09:06:00,71684.91,71700.1,71668.07,71678.67,5.3966
2026-04-10 09:07:00,71678.67,71678.67,71669.55,71678.66,11.378
2026-04-10 09:08:00,71678.66,71678.67,71659.73,71678.66,11.141
2026-04-10 09:09:00,71678.67,71685.17,71666.88,71666.88,2.2714
2026-04-10 09:10:00,71666.89,71666.89,71643.87,71644.01,4.168
2026-04-10 09:11:00,71644.01,71664.53,71644.0,71664.53,5.5338
2026-04-10 09:12:00,71664.53,71678.67,71664.53,71678.67,2.3304
2026-04-10 09:13:00,71678.66,71686.86,71678.66,71686.86,3.1310000000000002
2026-04-10 09:14:00,71686.85,71701.13,71686.85,71693.5,31.1138
2026-04-10 09:15:00,71693.5,71700.0,71681.16,71700.0,26.9672
2026-04-10 09:16:00,71700.0,71722.05,71700.0,71708.78,5.1048
2026-04-10 09:17:00,71708.77,71708.78,71691.27,71691.28,7.071
2026-04-10 09:18:00,71691.27,71804.85,71691.27,71739.0,39.915
2026-04-10 09:19:00,71738.56,71850.0,71718.04,71821.32,27.6832
2026-04-10 09:20:00,71821.33,71847.21,71792.86,71792.87,17.5326
2026-04-10 09:21:00,71792.86,71816.03,71780.8,71786.77,10.1776
2026-04-10 09:22:00,71786.77,71810.0,71786.77,71809.99,18.4886
2026-04-10 09:23:00,71810.0,71812.59,71788.27,71788.28,6.2306
2026-04-10 09:24:00,71788.27,71788.28,71753.78,71760.02,5.5756
2026-04-10 09:25:00,71760.02,71766.52,71745.24,71761.12,9.1706
2026-04-10 09:26:00,71761.12,71764.62,71761.11,71764.61,2.4912
2026-04-10 09:27:00,71764.62,71764.62,71759.69,71759.69,1.9208
