datetime,open,high,low,close,volume
2026-04-10 00:00:00,71787.9800,71794.5000,71750.5600,71791.2800,55.1426
2026-04-10 00:01:00,71791.2800,71850.0000,71772.9900,71850.0000,28.0758
2026-04-10 00:02:00,71849.9900,71858.6000,71798.0000,71813.9900,17.1008
2026-04-10 00:03:00,71810.6300,71828.0000,71797.3400,71801.6400,11.3768
2026-04-10 00:04:00,71801.6400,71830.1100,71791.2700,71811.4400,28.5184
2026-04-10 00:05:00,71811.4300,71872.5200,71795.4900,71862.0400,18.1100
2026-04-10 00:06:00,71862.0400,71879.5000,71844.0000,71859.9300,11.5210
2026-04-10 00:07:00,71859.9300,71860.5100,71773.1900,71821.3300,28.2296
2026-04-10 00:08:00,71821.3300,71821.3400,71731.8800,71766.3000,16.8202
2026-04-10 00:09:00,71766.3100,71840.5600,71766.3100,71833.6900,260.7212
2026-04-10 00:10:00,71833.7000,71837.5900,71772.9700,71837.5800,27.2120
2026-04-10 00:11:00,71837.5800,71853.8000,71825.5800,71840.9600,6.4168
2026-04-10 00:12:00,71840.9700,71894.8500,71809.8300,71811.3400,156.9296
2026-04-10 00:13:00,71810.2600,71810.2600,71760.9000,71760.9000,13.7546
2026-04-10 00:14:00,71760.9000,71820.6200,71709.0100,71816.0000,56.2538
2026-04-10 00:15:00,71815.9900,71815.9900,71735.0800,71759.9600,135.9804
2026-04-10 00:16:00,71759.9600,71789.9800,71741.0300,71785.8400,14.1964
2026-04-10 00:17:00,71785.8400,71802.0500,71704.1300,71705.8900,16.4780
2026-04-10 00:18:00,71705.8900,71736.8900,71651.8800,71672.7600,23.0992
2026-04-10 00:19:00,71672.7500,71672.7600,71623.2900,71623.3000,10.5956
2026-04-10 00:20:00,71623.3000,71654.3600,71598.6000,71627.7200,50.7712
2026-04-10 00:21:00,71626.9200,71638.1500,71603.0400,71603.0400,8.2254
2026-04-10 00:22:00,71603.0400,71644.9100,71573.3500,71644.9000,19.0916
2026-04-10 00:23:00,71644.9100,71720.9900,71644.9000,71714.5600,14.2730
2026-04-10 00:24:00,71714.5700,71714.5700,71663.9500,71663.9600,2.5054
2026-04-10 00:25:00,71663.9600,71678.2300,71616.0000,71624.1400,20.4516
2026-04-10 00:26:00,71624.1500,71653.3500,71622.1400,71632.1900,21.1230
2026-04-10 00:27:00,71632.2000,71703.1700,71632.2000,71676.8700,8.6102
2026-04-10 00:28:00,71676.8800,71722.1400,71669.8600,71722.1300,9.0184
2026-04-10 00:29:00,71722.1300,71836.9700,71697.8900,71836.9500,26.8850
2026-04-10 00:30:00,71836.9600,71858.3500,71823.0000,71823.0000,25.0376
2026-04-10 00:31:00,71823.0000,71829.6700,71802.8100,71822.4100,9.6578
2026-04-10 00:32:00,71822.4000,71896.6700,71808.0000,71874.5400,18.5056
2026-04-10 00:33:00,71874.0000,71969.6000,71863.5300,71930.4400,18.4770
2026-04-10 00:34:00,71928.0300,71928.0300,71872.9300,71884.0600,8.0422
2026-04-10 00:35:00,71884.0600,71959.6200,71884.0500,71947.1800,4.8810
2026-04-10 00:36:00,71947.1800,71947.1800,71914.3600,71945.4300,3.0040
2026-04-10 00:37:00,71945.4300,71945.4400,71885.6500,71885.6500,3.4188
2026-04-10 00:38:00,71885.6600,71885.6600,71789.6900,71820.7300,22.6096
2026-04-10 00:39:00,71820.7300,71869.1600,71812.3400,71863.6500,13.8132
2026-04-10 00:40:00,71863.6600,71885.6000,71850.0000,71885.6000,11.6836
2026-04-10 00:41:00,71885.6000,71956.1000,71865.0200,71938.5300,13.5466
2026-04-10 00:42:00,71938.5400,71946.2900,71929.9900,71940.4700,22.6430
2026-04-10 00:43:00,71938.2000,71938.2100,71894.4900,71918.0000,11.1918
2026-04-10 00:44:00,71916.0600,71932.8100,71906.4300,71932.8100,3.5398
2026-04-10 00:45:00,71932.8000,71932.8000,71887.2900,71887.2900,3.1728
2026-04-10 00:46:00,71887.3000,71894.0000,71862.1700,71894.0000,2.6866
2026-04-10 00:47:00,71893.9900,71940.0000,71893.9900,71940.0000,3.8898
2026-04-10 00:48:00,71940.0000,71965.0700,71918.1400,71964.0100,4.7416
2026-04-10 00:49:00,71964.0100,71990.0000,71930.0000,71930.0000,290.2796
2026-04-10 00:50:00,71930.0000,71980.7900,71919.8700,71968.9600,21.9002
2026-04-10 00:51:00,71968.9700,71985.3800,71930.0100,71985.3800,9.8266
2026-04-10 00:52:00,71985.3800,72028.4000,71985.3800,71998.0000,13.1776
2026-04-10 00:53:00,71998.0000,71998.0100,71950.0000,71963.9800,16.2480
2026-04-10 00:54:00,71963.9700,71963.9700,71912.5600,71953.6600,50.9966
2026-04-10 00:55:00,71953.6700,71953.6700,71933.3600,71944.0000,10.2748
2026-04-10 00:56:00,71944.0100,71960.0100,71888.6500,71892.8600,4.0262
2026-04-10 00:57:00,71892.8700,71921.3000,71874.3400,71902.8800,29.4708
2026-04-10 00:58:00,71902.8800,71923.8600,71885.9200,71889.3200,6.4692
2026-04-10 00:59:00,71889.3200,71971.6400,71880.7200,71963.0300,168.4116
2026-04-10 01:00:00,71963.0400,71967.2000,71923.8700,71949.5600,11.7324
2026-04-10 01:01:00,71949.5600,71949.5700,71900.0000,71907.9800,16.1842
2026-04-10 01:02:00,71907.9800,71912.9300,71878.0100,71885.1100,30.4614
2026-04-10 01:03:00,71885.1200,71893.3300,71864.6800,71874.0000,4.1664
2026-04-10 01:04:00,71874.0000,71874.0000,71844.0000,71868.3100,16.1384
2026-04-10 01:05:00,71871.9700,71901.1400,71868.1000,71881.2500,148.7134
2026-04-10 01:06:00,71881.2500,71881.2500,71853.4600,71875.0500,3.6698
2026-04-10 01:07:00,71875.0600,71880.7100,71860.0000,71860.1400,4.4892
2026-04-10 01:08:00,71859.0600,71936.0000,71823.3200,71916.0000,10.3412
2026-04-10 01:09:00,71916.0100,71959.2000,71910.9200,71959.2000,12.5860
2026-04-10 01:10:00,71959.1900,72000.0000,71930.0200,71936.7500,8.3134
2026-04-10 01:11:00,71936.7600,72019.2800,71936.7500,72019.2800,4.4376
2026-04-10 01:12:00,72019.2800,72078.2800,72019.2700,72066.1500,18.3926
2026-04-10 01:13:00,72066.1500,72067.7700,72039.1100,72058.8800,6.1682
2026-04-10 01:14:00,72058.8800,72063.5900,71988.6400,72000.0000,18.8350
2026-04-10 01:15:00,72000.0000,72050.0100,71992.8000,72050.0100,31.2944
2026-04-10 01:16:00,72050.0100,72050.0100,72004.6900,72007.2600,10.0978
2026-04-10 01:17:00,72007.2600,72010.4000,71956.9500,71956.9600,53.8990
2026-04-10 01:18:00,71956.9500,71988.6300,71955.6500,71982.0100,5.1512
2026-04-10 01:19:00,71982.0100,72023.1300,71970.1700,72012.8900,5.0428
2026-04-10 01:20:00,72012.8900,72012.9000,71962.5100,71962.5200,7.0656
2026-04-10 01:21:00,71962.5100,71962.5100,71892.9200,71914.0000,17.0608
2026-04-10 01:22:00,71914.0000,71914.0000,71673.4800,71801.6600,71.3848
2026-04-10 01:23:00,71801.8200,71841.9500,71789.2700,71837.0100,11.9620
2026-04-10 01:24:00,71837.0200,71866.5100,71837.0200,71857.9900,5.9610
2026-04-10 01:25:00,71858.0000,71900.0000,71858.0000,71888.9500,11.1316
2026-04-10 01:26:00,71888.9600,71891.1900,71865.5300,71865.5400,4.7974
2026-04-10 01:27:00,71865.5200,71865.5300,71832.0800,71852.2300,7.0316
2026-04-10 01:28:00,71852.2300,71877.5900,71818.8800,71818.8900,15.6030
2026-04-10 01:29:00,71818.8800,71879.3700,71800.0000,71879.3600,129.8094
2026-04-10 01:30:00,71879.3700,71918.6400,71862.1600,71910.0300,16.2340
2026-04-10 01:31:00,71909.2000,71937.7300,71902.9500,71919.4500,11.3068
2026-04-10 01:32:00,71919.4400,72120.6800,71919.4400,72087.4400,47.5984
2026-04-10 01:33:00,72087.1500,72188.7800,72075.1000,72132.7700,36.3136
2026-04-10 01:34:00,72132.7800,72173.4800,72114.3300,72173.4800,10.6860
2026-04-10 01:35:00,72173.4800,72220.0000,72165.5200,72219.9900,24.5146
2026-04-10 01:36:00,72219.9900,72300.0000,72216.0100,72293.3700,26.1108
2026-04-10 01:37:00,72293.3700,72359.0700,72276.6000,72326.4600,39.8742
2026-04-10 01:38:00,72326.4600,72350.0000,72295.9900,72313.9600,22.5704
2026-04-10 01:39:00,72313.9400,72324.2600,72300.0000,72304.8000,16.6928
2026-04-10 01:40:00,72304.8000,72352.6900,72274.2100,72328.4900,37.5432
2026-04-10 01:41:00,72328.4900,72367.6800,72314.5200,72350.1400,38.0268
2026-04-10 01:42:00,72349.9800,72387.0000,72320.2200,72369.2400,76.9254
2026-04-10 01:43:00,72369.2400,72377.8400,72340.5300,72356.1400,12.6894
2026-04-10 01:44:00,72356.1300,72382.7900,72259.7100,72298.8900,56.9350
2026-04-10 01:45:00,72298.8900,72298.8900,72254.3600,72283.8100,16.8162
2026-04-10 01:46:00,72283.8100,72283.8100,72200.3900,72229.9900,19.2216
2026-04-10 01:47:00,72230.0000,72266.0000,72230.0000,72265.9900,3.8906
2026-04-10 01:48:00,72266.0000,72279.9900,72265.9900,72278.7000,1.5942
2026-04-10 01:49:00,72278.6900,72278.7000,72226.5000,72226.5100,5.0174
2026-04-10 01:50:00,72226.5000,72308.9900,72226.5000,72308.9900,9.3116
2026-04-10 01:51:00,72309.0000,72354.5700,72298.6600,72298.6600,13.7394
2026-04-10 01:52:00,72298.6600,72298.6600,72281.0800,72285.5100,12.7682
2026-04-10 01:53:00,72285.5000,72292.5900,72259.2500,72259.2600,10.8976
2026-04-10 01:54:00,72259.2500,72280.0000,72212.2000,72217.2700,32.0520
2026-04-10 01:55:00,72217.2600,72241.5500,72216.0000,72216.0000,21.3042
2026-04-10 01:56:00,72216.0000,72224.1900,72197.8700,72202.5200,18.0928
2026-04-10 01:57:00,72202.5100,72202.5100,72152.8800,72156.1600,6.6648
2026-04-10 01:58:00,72158.3300,72177.8000,72155.6000,72167.4800,11.1908
2026-04-10 01:59:00,72167.4800,72167.4800,72152.8800,72157.9300,8.2354
2026-04-10 02:00:00,72157.9300,72194.4700,72121.3900,72178.0000,28.0342
2026-04-10 02:01:00,72178.0100,72185.7100,72157.8100,72178.2400,10.1924
2026-04-10 02:02:00,72180.7100,72248.2900,72154.4600,72158.5500,28.0130
2026-04-10 02:03:00,72158.5400,72158.5500,72133.0800,72157.9400,92.8170
2026-04-10 02:04:00,72158.0000,72161.6400,72120.5400,72128.0000,8.8062
2026-04-10 02:05:00,72128.0000,72153.3700,72120.9500,72134.5900,2.9320
2026-04-10 02:06:00,72134.5900,72153.3700,72127.0400,72148.2000,6.3802
2026-04-10 02:07:00,72148.2100,72240.0000,72135.8800,72206.3000,5.9328
2026-04-10 02:08:00,72209.8500,72237.0500,72202.6200,72211.6400,6.4136
2026-04-10 02:09:00,72211.6500,72280.0000,72211.6500,72248.3200,5.9206
2026-04-10 02:10:00,72248.3200,72268.7200,72246.5000,72268.7200,8.4178
2026-04-10 02:11:00,72268.7100,72291.0400,72264.9300,72281.0000,10.9596
2026-04-10 02:12:00,72281.0000,72281.0000,72188.1300,72223.7800,22.2630
2026-04-10 02:13:00,72221.3200,72225.9500,72212.8300,72224.3300,3.9792
2026-04-10 02:14:00,72224.3300,72231.5400,72198.0100,72226.0800,7.1460
2026-04-10 02:15:00,72226.0800,72257.9300,72226.0800,72231.5300,4.0290
2026-04-10 02:16:00,72231.5300,72236.7800,72221.0600,72230.5900,10.4344
2026-04-10 02:17:00,72230.6000,72240.0200,72219.3900,72225.9600,6.9874
2026-04-10 02:18:00,72225.9600,72225.9600,72195.4300,72199.2100,11.0374
2026-04-10 02:19:00,72199.2100,72205.5900,72181.2000,72203.5100,5.6488
2026-04-10 02:20:00,72203.5000,72213.3200,72200.3700,72202.6400,5.3284
2026-04-10 02:21:00,72202.6500,72213.2300,72196.9100,72196.9200,4.2422
2026-04-10 02:22:00,72196.9100,72221.6000,72196.9100,72205.3500,6.8382
2026-04-10 02:23:00,72205.3400,72210.4400,72192.7500,72192.7600,2.2872
2026-04-10 02:24:00,72192.7600,72204.5600,72187.5800,72187.5800,40.3482
2026-04-10 02:25:00,72187.5700,72247.3700,72187.5700,72238.8800,36.2130
2026-04-10 02:26:00,72238.1800,72238.1900,72195.4700,72195.4800,6.3454
2026-04-10 02:27:00,72195.4800,72199.9900,72178.2400,72178.2500,2.8770
2026-04-10 02:28:00,72178.2400,72180.0000,72175.4600,72175.4600,4.4414
2026-04-10 02:29:00,72175.4600,72179.6600,72168.6200,72179.6500,4.6430
2026-04-10 02:30:00,72179.6600,72191.4600,72150.0000,72150.0000,8.4998
2026-04-10 02:31:00,72150.0000,72161.5900,72135.8400,72161.5800,5.7540
2026-04-10 02:32:00,72161.5900,72192.0000,72161.5800,72191.9900,2.8834
2026-04-10 02:33:00,72191.9900,72227.8400,72191.9900,72203.3400,5.5040
2026-04-10 02:34:00,72203.3400,72203.3400,72186.0000,72186.0100,2.2724
